id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
396,11,55,1263,寄居町,7695,0.65,121.96,123.69,0.83
397,11,46,498,宮代町,3024,0,109.18,126.71,0.63
398,11,40,384,杉戸町,2808,0,91.39,102.63,0.75
399,11,37,361,越谷・松伏水道企業団,2754,0,118.07,120.75,-
400,11,48,579,桶川北本水道企業団,3229,0,113.73,119.44,-
401,11,36,340,坂戸、鶴ケ島水道企業団,2710,0,109.92,115.73,-
402,11,54,967,秩父広域市町村圏組合,4244,,96.49,116.57,-
403,12,9,565,千葉県,3190,0,114.12,119.38,0.78
404,12,9,565,千葉市,3190,0,54.22,108.15,0.95
405,12,14,681,銚子市,3466,0,111.86,113.72,0.59
406,12,21,954,木更津市,4212,0,102.59,111.08,0.84
407,12,3,340,松戸市,2710,0,91.21,106.05,0.9
408,12,6,429,野田市,2900,0,106.8,117.69,0.87
409,12,12,600,成田市,3261,0,88.8,114.76,1.28
410,12,13,659,佐倉市,3445,0,110.57,118,0.91
411,12,39,1192,旭市,5184,0,114.81,114.96,0.49
412,12,1,255,習志野市,2581,0,124.99,122.06,0.92
413,12,8,517,柏市,3067,0,127.27,129.49,0.95
414,12,41,1209,勝浦市,5356,0,105.55,106.42,0.47
415,12,9,565,市原市,3190,0,36.87,100.01,1
416,12,7,498,流山市,3024,0,104.3,131.01,0.92
417,12,4,349,八千代市,2721,0,95.36,114.45,0.94
418,12,5,394,我孫子市,2829,0,107.11,116.32,0.84
419,12,33,1111,鴨川市,4741,0,100.14,129.9,0.52
420,12,30,1047,君津市,4482,18.57,107.52,114.43,1
421,12,34,1117,富津市,4752,0,97.32,102.54,0.92
422,12,2,263,四街道市,2592,0,117.46,127.68,0.82
423,12,15,718,袖ケ浦市,3543,0,81.98,102.43,1.09
424,12,25,971,八街市,4250,0,82.42,101.64,0.64
425,12,21,954,印西市,4212,0,76.3,116.26,0.99
426,12,16,721,白井市,3553,0,73.17,103.96,0.9
427,12,21,954,富里市,4212,0,95.73,108.31,0.78
428,12,27,1032,南房総市,4438,0,61.69,110.88,0.34
429,12,32,1095,香取市,4644,0,88.16,114.88,0.54
430,12,36,1131,山武市,4806,0,42.75,112.34,0.52
431,12,19,869,いすみ市,3974,0,60.17,96.56,0.45
432,12,17,728,酒々井町,3564,0,154,150.56,0.75
433,12,26,991,神崎町,4320,0,87.05,116.21,0.4
434,12,21,954,多古町,4212,0,92.73,95.24,0.55
435,12,31,1064,東庄町,4536,0,92.12,120.63,0.47
436,12,38,1161,大多喜町,4999,0,67.99,102.24,0.43
437,12,34,1117,御宿町,4752,0,91.62,106.7,0.43
438,12,37,1160,鋸南町,4978,0,65.95,115.43,0.29
439,12,27,1032,三芳水道企業団,4438,0,72.33,104.16,-
440,12,20,920,長門川水道企業団,4104,0,106.16,109.05,-
441,12,29,1037,八匝水道企業団,4449,0,82.61,115.94,-
442,12,40,1195,山武郡市広域水道企業団,5221,0,87.83,107.27,-
